Cycle,G_loss,D_loss,Real_score,Fake_score
0,0.3937758803367615,2.738520383834839,-1.082716464996338,-1.052255392074585
1,0.7326551079750061,1.0260332822799683,1.1765730381011963,1.2854009866714478
2,2.776686906814575,0.6611437797546387,1.4975754022598267,0.8449764251708984
3,2.9065799713134766,0.15278974175453186,0.7729823589324951,0.3081582486629486
4,2.660731315612793,0.22431804239749908,0.5772199630737305,0.36074215173721313
5,3.4833035469055176,0.204569011926651,0.6626957654953003,0.40644222497940063
6,3.8497636318206787,0.12160494923591614,0.7808511257171631,0.2725476622581482
7,5.19713020324707,0.20396091043949127,0.8504308462142944,0.4135868549346924
8,3.4067134857177734,0.10261723399162292,0.7631446123123169,0.11944128572940826
9,6.744670391082764,0.19275608658790588,0.8163324594497681,0.4500132203102112
10,1.0806046724319458,0.12363754212856293,0.7152479887008667,-0.1645052134990692
11,11.411140441894531,0.6791846752166748,1.0313531160354614,1.0782809257507324
12,0.10827341675758362,0.7280997037887573,0.6224632263183594,-1.0858335494995117
13,2.425297737121582,0.9887515306472778,1.1366169452667236,1.35007905960083
14,2.895881414413452,0.0980592593550682,0.7516367435455322,-0.0448034331202507
15,1.0746231079101562,0.10717839002609253,0.7218934893608093,-0.1465267688035965
16,3.512998104095459,0.20867717266082764,0.9971611499786377,0.5126062035560608
17,1.5227993726730347,0.09282293170690536,0.8949286937713623,-0.1987176388502121
18,3.838235855102539,0.15115490555763245,0.8671952486038208,0.43994253873825073
19,1.253058910369873,0.07189192622900009,0.8657603859901428,-0.18066857755184174
20,9.606929779052734,0.36288416385650635,1.0406103134155273,0.7871384024620056
21,0.020788030698895454,0.5766859650611877,0.6510217189788818,-0.9749430418014526
22,3.023186683654785,0.9332561492919922,1.1553692817687988,1.3074007034301758
23,2.3218541145324707,0.12274669110774994,0.705916702747345,-0.2535829544067383
24,0.8441036939620972,0.0799492746591568,0.7915873527526855,-0.10531666874885559
25,2.81123685836792,0.1728345900774002,1.011568307876587,0.48977336287498474
26,1.4265409708023071,0.062157850712537766,0.9672343134880066,-0.2312527447938919
27,1.9769045114517212,0.06199640780687332,0.9618203639984131,0.24431362748146057
28,1.9490259885787964,0.07610336691141129,0.777792751789093,0.06418891996145248
29,4.6530632972717285,0.0759156122803688,1.012424349784851,0.2677125930786133
30,0.17087236046791077,0.09476552903652191,0.8573811054229736,-0.3155239522457123
31,12.085460662841797,0.8065494298934937,1.0430915355682373,1.2404606342315674
32,0.2005860060453415,1.4107953310012817,0.5429081320762634,-1.5984141826629639
33,0.6237010955810547,0.38317179679870605,1.1183148622512817,0.8033889532089233
34,1.9682048559188843,0.09694511443376541,1.0211440324783325,0.37109801173210144
35,1.6513464450836182,0.06124255061149597,0.8073412775993347,-0.13194304704666138
36,1.0994048118591309,0.031410686671733856,0.9113848209381104,-0.02429712936282158
37,1.2341506481170654,0.046110935509204865,0.9370949268341064,0.1834694743156433
38,1.5088367462158203,0.03693654015660286,0.9680428504943848,0.11367052793502808
39,1.3975255489349365,0.056644242256879807,0.7971886992454529,0.04446665942668915
40,1.784362554550171,0.05369316413998604,0.9459693431854248,0.16336166858673096
