Cycle,G_loss,D_loss,Real_score,Fake_score
0,0.08683343231678009,-0.0627572312951088,-0.016836069524288177,-0.07959330081939697
1,0.10134326666593552,-0.10503454506397247,0.008944513276219368,-0.09609003365039825
2,0.11802473664283752,-0.1418261080980301,0.02840620093047619,-0.11341991275548935
3,0.13600115478038788,-0.17692691087722778,0.045769646763801575,-0.1311572641134262
4,0.15516676008701324,-0.2160034030675888,0.06583407521247864,-0.15016932785511017
5,0.1743583381175995,-0.25392335653305054,0.08468161523342133,-0.1692417562007904
6,0.1949031949043274,-0.2972084879875183,0.10727669298648834,-0.18993180990219116
7,0.21631258726119995,-0.3370569348335266,0.12625588476657867,-0.21080103516578674
8,0.23892182111740112,-0.3843533992767334,0.1509110927581787,-0.2334423065185547
9,0.2625022530555725,-0.43129706382751465,0.17472827434539795,-0.2565687894821167
10,0.2868143320083618,-0.4795273542404175,0.19896936416625977,-0.2805579900741577
11,0.3124242424964905,-0.5322492122650146,0.22641313076019287,-0.30583611130714417
12,0.3387796878814697,-0.5829238295555115,0.2508372664451599,-0.33208656311035156
13,0.36625683307647705,-0.6393128037452698,0.27999019622802734,-0.35932260751724243
14,0.39511024951934814,-0.69921875,0.31127941608428955,-0.38793933391571045
15,0.42576807737350464,-0.7553803324699402,0.3370625376701355,-0.4183177947998047
16,0.4571301341056824,-0.8220029473304749,0.37240803241729736,-0.4495949149131775
17,0.4896954894065857,-0.8892371654510498,0.4073762893676758,-0.481860876083374
18,0.5219281911849976,-0.9468827247619629,0.4324803054332733,-0.5144023895263672
19,0.5517580509185791,-1.0099427700042725,0.46738895773887634,-0.5425538420677185
20,0.5850776433944702,-1.0811901092529297,0.5054723024368286,-0.5757178664207458
21,0.6183657050132751,-1.1510846614837646,0.5419554710388184,-0.6091292500495911
22,0.6524264812469482,-1.2220264673233032,0.5789053440093994,-0.6431211233139038
23,0.6869597434997559,-1.290827989578247,0.6130053997039795,-0.6778225898742676
24,0.7217223644256592,-1.3659172058105469,0.6532906293869019,-0.712626576423645
25,0.7557647228240967,-1.433467149734497,0.6865251660346985,-0.7469420433044434
26,0.7873752117156982,-1.4982545375823975,0.7184922099113464,-0.7797623872756958
27,0.8154428005218506,-1.560322642326355,0.7522696256637573,-0.8080530166625977
28,0.8412182331085205,-1.6136858463287354,0.7788461446762085,-0.8348397016525269
29,0.8650550842285156,-1.6635619401931763,0.804729700088501,-0.8588322401046753
30,0.8851003646850586,-1.7038344144821167,0.8238831758499146,-0.8799512386322021
31,0.9015836119651794,-1.736074447631836,0.8401536345481873,-0.8959207534790039
32,0.9151657819747925,-1.765979528427124,0.8563085794448853,-0.9096710085868835
33,0.9271420240402222,-1.79463791847229,0.8718041181564331,-0.9228337407112122
34,0.9369869828224182,-1.8142352104187012,0.8818467855453491,-0.9323883652687073
35,0.9448164701461792,-1.8335328102111816,0.8933119773864746,-0.940220832824707
36,0.9522756338119507,-1.8495826721191406,0.9015275239944458,-0.9480551481246948
37,0.9616425037384033,-1.8653589487075806,0.9080546498298645,-0.9573042988777161
38,0.968970775604248,-1.8827199935913086,0.9167836308479309,-0.9659363031387329
39,0.9756308794021606,-1.8947360515594482,0.922709584236145,-0.9720264673233032
40,0.9809492230415344,-1.9061765670776367,0.927040696144104,-0.9791359305381775
41,0.9852580428123474,-1.9156159162521362,0.9320325255393982,-0.983583390712738
42,0.9898414611816406,-1.9240872859954834,0.9367246031761169,-0.9873627424240112
43,0.9932474493980408,-1.932539939880371,0.9409631490707397,-0.9915768504142761
44,0.9973611831665039,-1.9392485618591309,0.9437310099601746,-0.9955174922943115
45,1.0001976490020752,-1.943795919418335,0.9447953104972839,-0.999000608921051
46,1.0022063255310059,-1.9516862630844116,0.9506045579910278,-1.0010817050933838
47,1.0032358169555664,-1.9530634880065918,0.9513900876045227,-1.0016733407974243
48,1.0050487518310547,-1.957330346107483,0.9537259340286255,-1.0036044120788574
49,1.0052900314331055,-1.9614455699920654,0.9571980834007263,-1.0042475461959839
50,1.0061920881271362,-1.9630041122436523,0.9585978984832764,-1.004406213760376
51,1.0055515766143799,-1.9608025550842285,0.9579266905784607,-1.002875804901123
52,1.0013980865478516,-1.9565929174423218,0.9593231081962585,-0.9972698092460632
53,0.9973625540733337,-1.9537460803985596,0.9596194624900818,-0.994126558303833
54,1.0016816854476929,-1.9621089696884155,0.9640865325927734,-0.9980224370956421
55,1.0080779790878296,-1.9696980714797974,0.9640576839447021,-1.0056403875350952
56,1.011763572692871,-1.9755427837371826,0.9652037620544434,-1.0103390216827393
57,1.0134401321411133,-1.9779129028320312,0.9657151103019714,-1.0121978521347046
58,1.0148472785949707,-1.9808393716812134,0.9670361280441284,-1.013803243637085
59,1.015524983406067,-1.9823105335235596,0.9680917263031006,-1.014218807220459
60,1.0159294605255127,-1.980900764465332,0.9661945104598999,-1.0147062540054321
61,1.015074372291565,-1.9772155284881592,0.9637872576713562,-1.0134282112121582
62,1.0148417949676514,-1.9808824062347412,0.9676830172538757,-1.0131993293762207
63,1.0140254497528076,-1.9814015626907349,0.9698072671890259,-1.011594295501709
64,1.0129263401031494,-1.9780616760253906,0.9678296446800232,-1.0102320909500122
65,1.0119645595550537,-1.9761654138565063,0.9677175283432007,-1.0084478855133057
66,1.0118937492370605,-1.978049874305725,0.9693409204483032,-1.0087089538574219
67,1.0125114917755127,-1.9771133661270142,0.9679309129714966,-1.0091824531555176
68,1.014530062675476,-1.982054591178894,0.970373272895813,-1.011681318283081
69,1.016930103302002,-1.9851800203323364,0.970299482345581,-1.0148805379867554
70,1.0179636478424072,-1.9867819547653198,0.9704263210296631,-1.0163556337356567
71,1.0189306735992432,-1.9890013933181763,0.971197247505188,-1.0178041458129883
72,1.0188056230545044,-1.9887299537658691,0.9715662002563477,-1.0171637535095215
73,1.018021821975708,-1.9811947345733643,0.9652281403541565,-1.0159666538238525
74,1.0162675380706787,-1.983321189880371,0.9704238772392273,-1.012897253036499
75,1.0139920711517334,-1.9820101261138916,0.971181333065033,-1.0108288526535034
76,1.0134589672088623,-1.9817270040512085,0.9725369215011597,-1.0091900825500488
