Cycle,G_loss,D_loss,Real_score,Fake_score
0,0.08639267086982727,-0.06409546732902527,-0.015004443004727364,-0.07909990847110748
1,0.10081429034471512,-0.10276542603969574,0.007221303414553404,-0.09554412215948105
2,0.1176435649394989,-0.14053207635879517,0.027381453663110733,-0.11315061897039413
3,0.1353926658630371,-0.17458927631378174,0.04404480755329132,-0.13054446876049042
4,0.154605895280838,-0.21389611065387726,0.06418724358081818,-0.14970886707305908
5,0.17354395985603333,-0.25331372022628784,0.08477717638015747,-0.16853652894496918
6,0.19406898319721222,-0.2957594692707062,0.10669532418251038,-0.1890641450881958
7,0.21576416492462158,-0.3382367193698883,0.12799426913261414,-0.21024245023727417
8,0.23761343955993652,-0.3753977417945862,0.14291605353355408,-0.2324817031621933
9,0.2608962059020996,-0.4290241599082947,0.1740705966949463,-0.2549535632133484
10,0.28503674268722534,-0.476232647895813,0.19761580228805542,-0.27861684560775757
11,0.31039032340049744,-0.5275272130966187,0.2235342264175415,-0.30399298667907715
12,0.33724212646484375,-0.5812287330627441,0.250792920589447,-0.3304358422756195
13,0.3647642433643341,-0.6369436979293823,0.2790296673774719,-0.3579140603542328
14,0.3938501477241516,-0.6926089525222778,0.30553650856018066,-0.38707247376441956
15,0.4242662787437439,-0.7552412748336792,0.3383113741874695,-0.41692987084388733
16,0.4553387463092804,-0.8178308010101318,0.3699178099632263,-0.44791296124458313
17,0.4847758710384369,-0.8684515357017517,0.3918471336364746,-0.4766044020652771
18,0.5167315006256104,-0.941856324672699,0.43344128131866455,-0.5084150433540344
19,0.549645185470581,-1.0092709064483643,0.4683912396430969,-0.5408796072006226
20,0.5840357542037964,-1.0813159942626953,0.506115198135376,-0.5752008557319641
21,0.6188647747039795,-1.1447943449020386,0.5342947244644165,-0.6104996204376221
22,0.6536781191825867,-1.2217762470245361,0.5771998763084412,-0.644576370716095
23,0.6882757544517517,-1.2917370796203613,0.6121244430541992,-0.6796126365661621
24,0.722491979598999,-1.3621611595153809,0.64818274974823,-0.7139783501625061
25,0.7549127340316772,-1.4264682531356812,0.6791927218437195,-0.7472755312919617
26,0.7852991819381714,-1.4911575317382812,0.7136114239692688,-0.7775461673736572
27,0.8139450550079346,-1.5584723949432373,0.7512058615684509,-0.8072664737701416
28,0.8394219875335693,-1.6076433658599854,0.7752513289451599,-0.8323919773101807
29,0.8616847991943359,-1.655230164527893,0.7998721599578857,-0.8553580045700073
30,0.8787825107574463,-1.6913303136825562,0.8195527195930481,-0.8717775940895081
31,0.8950769305229187,-1.72678804397583,0.8379108309745789,-0.888877272605896
32,0.9098541736602783,-1.758671760559082,0.8543753623962402,-0.9042964577674866
33,0.9260818958282471,-1.7894766330718994,0.8684883713722229,-0.9209882020950317
34,0.9387808442115784,-1.8161120414733887,0.8813439011573792,-0.9347681999206543
35,0.9481980800628662,-1.8318843841552734,0.887816846370697,-0.9440675973892212
36,0.9584340453147888,-1.8527429103851318,0.8983629941940308,-0.9543799161911011
37,0.9659497737884521,-1.8705195188522339,0.907150387763977,-0.9633691310882568
38,0.9731239080429077,-1.8827625513076782,0.9131192564964294,-0.9696432948112488
39,0.9776166677474976,-1.888681411743164,0.913986325263977,-0.974695086479187
40,0.982937216758728,-1.9036275148391724,0.9234511852264404,-0.9801763296127319
41,0.9876978993415833,-1.9167436361312866,0.9306056499481201,-0.9861379861831665
42,0.9906643629074097,-1.9227157831192017,0.9341877102851868,-0.9885280728340149
43,0.9929170608520508,-1.9280567169189453,0.9374959468841553,-0.9905607104301453
44,0.9945307970046997,-1.9323620796203613,0.9399524927139282,-0.9924095869064331
45,0.9959926605224609,-1.9382474422454834,0.9449248313903809,-0.9933226704597473
46,0.9980306029319763,-1.9420982599258423,0.9466686248779297,-0.9954296350479126
47,0.9985613822937012,-1.9437896013259888,0.9485712051391602,-0.9952183961868286
48,0.9988918304443359,-1.947713851928711,0.9521394968032837,-0.995574414730072
49,0.9971674680709839,-1.9481080770492554,0.954237699508667,-0.9938703775405884
50,0.9954637289047241,-1.9488075971603394,0.9569292068481445,-0.9918783903121948
51,1.000664234161377,-1.9556496143341064,0.9583421945571899,-0.9973073601722717
52,1.00518798828125,-1.9629448652267456,0.9604994058609009,-1.0024454593658447
53,1.0078884363174438,-1.9682873487472534,0.9617794752120972,-1.0065078735351562
54,1.009549856185913,-1.969865083694458,0.9622820019721985,-1.0075831413269043
55,1.0110862255096436,-1.973722219467163,0.9642698764801025,-1.0094523429870605
56,1.0120383501052856,-1.9738703966140747,0.9633133411407471,-1.0105570554733276
57,1.0124871730804443,-1.9773331880569458,0.9664124250411987,-1.010920763015747
58,1.0127356052398682,-1.9765863418579102,0.9652832746505737,-1.0113030672073364
59,1.0130589008331299,-1.9764575958251953,0.9650894999504089,-1.0113680362701416
60,1.0129108428955078,-1.9794442653656006,0.9681980013847351,-1.0112463235855103
61,1.0125408172607422,-1.9775193929672241,0.9666576385498047,-1.0108617544174194
62,1.0099942684173584,-1.9754196405410767,0.9676001071929932,-1.0078195333480835
63,1.0029513835906982,-1.9667004346847534,0.9680386781692505,-0.9986617565155029
64,0.9967576265335083,-1.961946725845337,0.9684164524078369,-0.9935302734375
65,0.9974949359893799,-1.963106632232666,0.9686217904090881,-0.9944847822189331
66,1.002488613128662,-1.9698641300201416,0.970979630947113,-0.9988844990730286
67,1.0072096586227417,-1.974355936050415,0.9703908562660217,-1.003965139389038
68,1.011095404624939,-1.9812238216400146,0.972446620464325,-1.008777141571045
69,1.0135743618011475,-1.9837210178375244,0.972449779510498,-1.0112712383270264
70,1.0146548748016357,-1.9841811656951904,0.9719395637512207,-1.0122416019439697
71,1.0152347087860107,-1.9860336780548096,0.9721109867095947,-1.0139226913452148
72,1.0167287588119507,-1.9871981143951416,0.9723054766654968,-1.014892578125
73,1.0166138410568237,-1.9875744581222534,0.9724372625350952,-1.0151371955871582
74,1.016871690750122,-1.9890129566192627,0.9737990498542786,-1.015213966369629
75,1.0167266130447388,-1.9875221252441406,0.9722327589988708,-1.015289306640625
76,1.0179170370101929,-1.9895050525665283,0.9730599522590637,-1.0164451599121094
77,1.0177935361862183,-1.9904173612594604,0.9744423627853394,-1.015974998474121
78,1.0178847312927246,-1.9906537532806396,0.9740393161773682,-1.0166144371032715
79,1.016486644744873,-1.9877392053604126,0.9727151393890381,-1.0150240659713745
80,1.0160140991210938,-1.9827604293823242,0.966844916343689,-1.0159155130386353
81,1.0071077346801758,-1.8901925086975098,0.89097660779953,-0.999215841293335
82,1.0022711753845215,-1.9637880325317383,0.967033863067627,-0.9967541694641113
83,0.9981871843338013,-1.9656078815460205,0.9713534116744995,-0.994254469871521
84,1.0005152225494385,-1.970228672027588,0.973200798034668,-0.9970278739929199
85,1.0044264793395996,-1.9753825664520264,0.9738094806671143,-1.001573085784912
86,1.0079927444458008,-1.9779359102249146,0.9727376699447632,-1.0051982402801514
87,1.0085077285766602,-1.9804874658584595,0.9745663404464722,-1.0059211254119873
88,1.0098237991333008,-1.9809739589691162,0.9742357134819031,-1.0067381858825684
89,1.0094985961914062,-1.9812712669372559,0.9742477536201477,-1.007023572921753
90,1.0062248706817627,-1.9763461351394653,0.9735758304595947,-1.0027703046798706
91,1.0027567148208618,-1.9756256341934204,0.9752482175827026,-1.0003774166107178
92,1.002410888671875,-1.9757204055786133,0.9753861427307129,-1.0003342628479004
93,1.0016143321990967,-1.974344253540039,0.9747883081436157,-0.9995560050010681
94,1.0033079385757446,-1.9771963357925415,0.9762445688247681,-1.0009517669677734
95,1.0051112174987793,-1.9791518449783325,0.9763787984848022,-1.0027730464935303
96,1.008247971534729,-1.9809633493423462,0.9751211404800415,-1.0058422088623047
97,1.008692741394043,-1.9817302227020264,0.9752538204193115,-1.0064764022827148
98,1.0055108070373535,-1.9785116910934448,0.9757705926895142,-1.0027410984039307
99,1.0033493041992188,-1.9765902757644653,0.9750643968582153,-1.00152587890625
100,0.9993647933006287,-1.9738123416900635,0.975691556930542,-0.9981207847595215
101,0.9991430640220642,-1.9724128246307373,0.9748432636260986,-0.9975695610046387
102,1.0008659362792969,-1.9750021696090698,0.9762327671051025,-0.9987694025039673
103,1.0033018589019775,-1.9769161939620972,0.9753851890563965,-1.0015310049057007
104,1.0043306350708008,-1.979563593864441,0.9768180847167969,-1.002745509147644
105,1.0035067796707153,-1.9780571460723877,0.9767196178436279,-1.0013375282287598
106,1.0037293434143066,-1.9772027730941772,0.9766970872879028,-1.0005056858062744
107,1.0030556917190552,-1.9784623384475708,0.976746678352356,-1.0017156600952148
108,1.0001888275146484,-1.9751642942428589,0.9762340188026428,-0.9989302754402161
109,0.9986734986305237,-1.974238395690918,0.9765888452529907,-0.9976495504379272
110,0.9986060857772827,-1.973667860031128,0.9764765501022339,-0.997191309928894
111,0.9991785287857056,-1.9732471704483032,0.9759604930877686,-0.9972866773605347
112,0.9993324279785156,-1.9755218029022217,0.9764308333396912,-0.9990910291671753
113,0.999389111995697,-1.9743901491165161,0.9768227934837341,-0.997567355632782
114,1.0007553100585938,-1.9767255783081055,0.9764425754547119,-1.0002830028533936
115,0.9987086057662964,-1.974705696105957,0.977056086063385,-0.9976495504379272
